"name","category","since","cid","name","title"
"Brightcove","Executive","Aug-2014","18629","Xavier Marl¨¦","Regional Account Media Director, Brightcove Asia Pacific"
"Brightcove","Executive","Aug-2014","18629","Tomer Azenkot","General Manager, Asia"
"Brightcove","Executive","Apr-2014","18629","Ben Morrell","Senior Technical Consultant, Media"
"Brightcove","Executive","Mar-2014","18629","Radha K Raman","Marketing Director, Asia Pacific"
"Brightcove","Executive","Feb-2014","18629","Anil Jain","Senior Vice President & General Manager, Media"
"Brightcove","Executive","Jan-2014","18629","Paul Goetz","Senior Vice President Worldwide Field Operations"
"Brightcove","Board Member","Jan-2014","18629","Derek Harrar","Board Member"
"Brightcove","Executive","Jun-2012","18629","Paul Goetz","Senior Vice President Sales and Services, Americas and EMEA"
"Brightcove","Executive","Oct-2010","18629","Christopher Menard","Chief Financial Officer"
"Brightcove","Executive","Oct-2008","18629","David Mendels","Board Member"
"Brightcove","Board Member","Oct-2005","18629","Scott Kurnit","Board Member of Goodmail Systems"
"Brightcove","Executive","2005","18629","Jim Breyer","General Partner"
